ID,Paper,No,Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,alpha_x,beta_x,alpha_l,beta_l
13,furusawa00,3,V79,n,a,5.6,3He,2,m,23,7.73,0.184,0.02,0.255,0.0401
13,furusawa00,4,V79,n,a,5.6,3He,2,m,23.8,7.39,0.184,0.02,0.261,0.0569
13,furusawa00,5,V79,n,a,5.6,3He,2,m,24,7.3,0.184,0.02,0.168,0.0591
13,furusawa00,6,V79,n,a,5.6,3He,2,m,29.9,5.5,0.184,0.02,0.162,0.0676
13,furusawa00,7,V79,n,a,5.6,3He,2,m,29.9,5.5,0.184,0.02,0.376,0.044
13,furusawa00,8,V79,n,a,5.6,3He,2,m,38.1,4.07,0.184,0.02,0.534,0.0537
13,furusawa00,9,V79,n,a,5.6,3He,2,m,39.2,3.92,0.184,0.02,0.529,0.0465
13,furusawa00,10,V79,n,a,5.6,3He,2,m,39.4,3.9,0.184,0.02,0.486,0.0471
13,furusawa00,11,V79,n,a,5.6,3He,2,m,50,2.83,0.184,0.02,0.561,0.1081
13,furusawa00,12,V79,n,a,5.6,3He,2,m,51.9,2.72,0.184,0.02,0.405,0.1327
13,furusawa00,13,V79,n,a,5.6,3He,2,m,52.3,2.7,0.184,0.02,0.496,0.1257
13,furusawa00,14,V79,n,a,5.6,3He,2,m,58.9,2.33,0.184,0.02,0.848,0.0602
13,furusawa00,15,V79,n,a,5.6,3He,2,m,61.9,2.16,0.184,0.02,0.56,0.1507
13,furusawa00,16,V79,n,a,5.6,3He,2,m,73.9,1.65,0.184,0.02,1.04,0.0793
13,furusawa00,17,V79,n,a,5.6,3He,2,m,74.6,1.62,0.184,0.02,1.105,0.1413
13,furusawa00,18,V79,n,a,5.6,3He,2,m,74.6,1.62,0.184,0.02,0.822,0.184
13,furusawa00,19,V79,n,a,5.6,3He,2,m,90.8,1.27,0.184,0.02,0.956,0.1846
13,furusawa00,20,V79,n,a,5.6,3He,2,m,90.8,1.27,0.184,0.02,1.117,0.1039
13,furusawa00,21,V79,n,a,5.6,12C,6,m,22.5,126,0.184,0.02,0.227,0.0323
13,furusawa00,22,V79,n,a,5.6,12C,6,m,30,82.3,0.184,0.02,0.295,0.0385
