Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,RBE
B14FAF28,n,a,5.6,238U,92,m,15800.0,4.37,0.1094
B14FAF28,n,a,5.6,238U,92,m,15400.0,7.07,0.1452
B14FAF28,n,a,5.6,238U,92,m,15000.0,8.61,0.1538
V79,n,a,5.6,12C,6,m,390.0,2.4,2.0743
V79,n,a,5.6,12C,6,m,290.0,3.9,2.6979
V79,n,a,5.6,12C,6,m,280.0,4.1,2.7382
V79,n,a,5.6,12C,6,m,240.0,5.2,2.943
V79,n,a,5.6,12C,6,m,225.0,5.7,2.4404
V79,n,a,5.6,12C,6,m,215.0,6.1,3.3216
V79,n,a,5.6,12C,6,m,180.0,7.6,2.8468
V79,n,a,5.6,12C,6,m,162.0,8.7,2.912
V79,n,a,5.6,16O,8,m,392.0,5.6,2.0805
V79,n,a,5.6,16O,8,m,278.0,8.7,3.0702
V79,n,a,5.6,18F,9,m,834.0,2.2,0.8004
V79,n,a,5.6,18F,9,m,622.0,3.8,1.2308
V79,n,a,5.6,18F,9,m,515.0,5.2,1.7269
V79,n,a,5.6,40Ar,18,m,2400.0,1.9,0.2599
V79,n,a,5.6,40Ar,18,m,1750.0,5.1,0.5903
V79,n,a,5.6,40Ar,18,m,1300.0,9.1,0.4826
V79,n,a,5.6,40Ar,18,m,1175.0,10.4,0.8778
V79,n,a,5.6,40Ar,18,m,940.0,14.2,1.1999
V79,n,a,5.6,40Ar,18,m,830.0,16.9,1.3114
V79,n,a,5.6,40Ar,18,m,730.0,20.0,1.8262
V79,n,a,5.6,40Ar,18,m,480.0,35.0,2.1301
V79,n,a,5.6,40Ar,18,m,155.0,165.0,2.853
V79,n,a,5.6,40Ar,18,m,150.0,170.0,3.5046
V79,n,a,5.6,40Ca,20,m,1500.0,10.6,0.3936
V79,n,a,5.6,56Fe,26,m,1590.0,0.1,0.1154
V79,n,a,5.6,56Fe,26,m,1950.0,13.0,0.649
V79,n,a,5.6,56Fe,26,m,1650.0,17.0,0.8252
V79,n,a,5.6,56Fe,26,m,650.0,60.0,1.637
V79,n,a,5.6,56Fe,26,m,520.0,80.0,2.0867
V79,n,a,5.6,56Fe,26,m,460.0,95.0,1.9254
V79,n,a,5.6,56Fe,26,m,185.0,400.0,3.3774
V79,n,a,5.6,58Ni,28,m,5170.0,0.7,0.0758
V79,n,a,5.6,58Ni,28,m,4480.0,1.8,0.1289
V79,n,a,5.6,58Ni,28,m,4160.0,2.5,0.1945
